"dept","comm","year","week","price"
"AISNE","SOISSONS",1835,21,1336
"AISNE","SOISSONS",1835,22,1335
"AISNE","SOISSONS",1835,23,1313
"AISNE","SOISSONS",1835,24,1316
"AISNE","SOISSONS",1836,1,1324
"AISNE","SOISSONS",1836,2,1328
"AISNE","SOISSONS",1836,3,1323
"AISNE","SOISSONS",1836,4,1339
"AISNE","SOISSONS",1836,5,1363
"AISNE","SOISSONS",1836,6,1401
"AISNE","SOISSONS",1836,7,1389
"AISNE","SOISSONS",1836,8,1397
"AISNE","SOISSONS",1836,9,1439
"AISNE","SOISSONS",1836,10,1539
"AISNE","SOISSONS",1836,11,1518
"AISNE","SOISSONS",1836,12,1437
"AISNE","SOISSONS",1836,13,1422
"AISNE","SOISSONS",1836,14,1437
"AISNE","SOISSONS",1836,17,1450
"AISNE","SOISSONS",1836,18,1493
"AISNE","SOISSONS",1836,19,1519
"AISNE","SOISSONS",1836,20,1487
"AISNE","SOISSONS",1836,21,1492
"AISNE","SOISSONS",1836,22,1467
"AISNE","SOISSONS",1836,23,1505
"AISNE","SOISSONS",1836,24,1538
"AISNE","SOISSONS",1837,1,1512
"AISNE","SOISSONS",1837,2,1490
"AISNE","SOISSONS",1837,3,1481
"AISNE","SOISSONS",1837,4,1486
"AISNE","SOISSONS",1837,5,1479
"AISNE","SOISSONS",1837,6,1450
"AISNE","SOISSONS",1837,7,1443
"AISNE","SOISSONS",1837,8,1438
"AISNE","SOISSONS",1837,9,1457
"AISNE","SOISSONS",1837,10,1504
"AISNE","SOISSONS",1837,11,1518
"AISNE","SOISSONS",1837,12,1490
"AISNE","SOISSONS",1837,13,1493
"AISNE","SOISSONS",1837,14,1523
"AISNE","SOISSONS",1837,15,1537
"AISNE","SOISSONS",1837,16,1540
"AISNE","SOISSONS",1837,17,1575
"AISNE","SOISSONS",1837,18,1655
"AISNE","SOISSONS",1837,19,1715
"AISNE","SOISSONS",1837,20,1715
"AISNE","SOISSONS",1837,21,1726
"AISNE","SOISSONS",1837,22,1795
"AISNE","SOISSONS",1837,23,1762
"AISNE","SOISSONS",1837,24,1715
"AISNE","SOISSONS",1838,1,1743
"AISNE","SOISSONS",1838,2,1787
"AISNE","SOISSONS",1838,3,1770
